종목명,업종명,시가총액
SH에너지화학,화학,"40,341,543,990"
셀트리온,제약,"40,321,976,288,400"
한익스프레스,운송·창고,"40,320,000,000"
현대차우,운송장비·부품,"4,971,624,480,000"
엔씨소프트,IT 서비스,"4,836,632,939,000"
넷마블,IT 서비스,"4,804,800,761,800"
크라운해태홀딩스우,기타금융,"4,781,778,960"
대한전선,전기·전자,"4,689,149,595,000"
동원시스템즈우,화학,"4,650,994,710"
에코프로머티,전기·전자,"4,643,512,953,600"
포스코DX,일반서비스,"4,523,033,187,750"
GS,기타금융,"4,492,458,526,300"
엘앤에프,전기·전자,"4,485,047,489,000"
금강공업우,금속,"4,465,353,750"
BNK금융지주,기타금융,"4,458,548,683,720"
LG생활건강,화학,"4,384,154,503,500"
현대제철,금속,"4,323,643,434,000"
JB금융지주,기타금융,"4,311,179,897,200"
한화엔진,기계·장비,"4,272,493,670,400"
깨끗한나라우,종이·목재,"4,269,425,600"
동부건설우,건설,"4,103,807,760"
우진플라임,기계·장비,"39,940,000,000"
신풍,유통,"39,887,876,700"
쏘카,일반서비스,"381,951,320,260"
계양전기,기계·장비,"38,738,085,667"
삼성물산,유통,"38,499,687,216,000"
부산주공,운송장비·부품,"38,288,532,168"
콜마홀딩스,기타금융,"376,572,923,820"
영진약품,제약,"371,272,243,930"
유니드비티플러스,종이·목재,"37,775,925,400"
이엔플러스,기계·장비,"37,494,486,519"
두산퓨얼셀2우B,전기·전자,"37,448,202,000"
SK스퀘어,기타금융,"37,442,792,385,000"
애경산업,화학,"366,569,897,800"
진에어,운송·창고,"365,400,000,000"
부광약품,제약,"364,072,635,990"
BGF,기타금융,"363,723,805,800"
한국철강,금속,"363,042,000,000"
유진투자증권,증권,"362,764,735,410"
더본코리아,유통,"361,288,848,000"
SBS,오락·문화,"361,007,091,480"
HL홀딩스,기타금융,"360,246,950,700"
모나미,유통,"36,925,337,878"
MH에탄올,음식료·담배,"36,302,347,920"
삼아알미늄,금속,"359,706,346,200"
KISCO홀딩스,금속,"358,662,414,000"
삼화콘덴서,전기·전자,"358,627,500,000"
일진홀딩스,기타금융,"355,301,877,600"
세아제강,금속,"354,537,500,000"
DS단석,화학,"353,442,661,200"
신세계인터내셔날,유통,"353,430,000,000"
INVENI,일반서비스,"352,260,000,000"
현대퓨처넷,통신,"350,996,379,825"
신한지주,기타금융,"35,975,174,609,400"
DI동일,유통,"348,419,084,800"
NH투자증권우,증권,"348,358,069,280"
한일현대시멘트,비금속,"348,091,372,720"
케이씨,의료·정밀기기,"347,982,216,900"
서연이화,운송장비·부품,"346,504,562,340"
대한제강,금속,"345,830,643,690"
사조대림,음식료·담배,"340,918,172,400"
HD현대일렉트릭,전기·전자,"34,208,731,115,000"
대원화성,화학,"34,154,297,856"
체시스,운송장비·부품,"34,112,000,000"
대상홀딩스,기타금융,"332,068,973,460"
세우글로벌,유통,"33,958,051,673"
HD한국조선해양,기타금융,"33,935,709,122,000"
이화산업,유통,"33,908,000,000"
주연테크,전기·전자,"33,852,830,550"
국보,운송·창고,"33,456,978,680"
한창제지,종이·목재,"33,413,792,160"
동일제강,금속,"33,150,487,880"
KG케미칼,화학,"329,336,082,400"
SK증권,증권,"328,450,168,845"
한국토지신탁,기타금융,"325,963,595,930"
한섬,섬유·의류,"321,981,669,450"
대한방직,섬유·의류,"32,701,000,000"
다이나믹디자인,기계·장비,"32,681,007,900"
솔루스첨단소재1우,전기·전자,"32,633,918,380"
한국전자홀딩스,기타금융,"32,106,951,296"
대원전선,전기·전자,"316,412,118,500"
엘브이엠씨홀딩스,유통,"316,334,587,184"
SGC에너지,전기·가스,"316,284,859,350"
남해화학,화학,"315,957,441,480"
코오롱ENP,화학,"315,400,000,000"
롯데이노베이트,IT 서비스,"313,177,896,900"
서울가스,전기·가스,"312,500,000,000"
경인전자,전기·전자,"31,965,718,950"
원림,섬유·의류,"31,941,783,000"
SUN&L,종이·목재,"31,835,172,225"
한성기업,음식료·담배,"31,668,526,500"
세방우,운송·창고,"31,543,087,500"
온타이드,유통,"31,452,817,400"
한세엠케이,유통,"31,364,551,400"
핸즈코퍼레이션,운송장비·부품,"31,085,436,487"
삼성전기우,전기·전자,"309,303,097,600"
SIMPAC,금속,"308,827,315,520"
수산인더스트리,건설,"308,577,600,000"
대덕,기타금융,"308,061,463,500"
아세아제지,종이·목재,"307,247,923,800"
남양유업,음식료·담배,"306,000,000,000"
웅진,일반서비스,"304,921,810,200"
한진,운송·창고,"304,090,799,600"
넥스틸,금속,"303,963,380,000"
일성아이에스,제약,"303,905,000,000"
유나이티드제약,제약,"303,482,412,760"
디앤디플랫폼리츠,부동산,"302,770,000,000"
화승엔터프라이즈,섬유·의류,"302,340,487,240"
에넥스,기타제조,"30,895,695,115"
세기상사,유통,"30,566,133,760"
삼성생명,보험,"30,420,000,000,000"
비비안,섬유·의류,"30,100,587,282"
SK바이오사이언스,제약,"3,981,152,566,000"
오리온,음식료·담배,"3,945,705,973,600"
KCC,화학,"3,910,047,240,000"
한국가스공사,전기·가스,"3,895,608,600,000"
한전기술,일반서비스,"3,890,796,000,000"
남선알미우,금속,"3,756,258,000"
강원랜드,오락·문화,"3,598,479,210,000"
계양전기우,기계·장비,"3,559,845,555"
서울보증보험,보험,"3,473,624,500,500"
CJ제일제당,음식료·담배,"3,417,300,222,000"
HD현대마린엔진,기계·장비,"3,344,659,407,000"
유유제약2우B,제약,"3,301,178,400"
CJ씨푸드1우,음식료·담배,"3,296,000,000"
풍산,금속,"3,262,025,959,200"
진흥기업우B,건설,"3,261,714,490"
금호건설우,건설,"3,209,080,680"
태영건설우,건설,"3,093,876,240"
동양우,비금속,"3,070,123,070"
롯데지주,기타금융,"3,068,595,182,250"
롯데케미칼,화학,"3,058,442,458,500"
일진전기,전기·전자,"3,032,790,804,000"
금호석유화학,화학,"3,017,078,897,800"
제이에스코퍼레이션,섬유·의류,"299,162,774,980"
서흥,화학,"299,061,571,050"
광동제약,제약,"298,798,850,700"
지누스,기타제조,"298,211,318,400"
이리츠코크렙,부동산,"297,705,473,000"
삼성SDI우,전기·전자,"297,531,074,400"
노루홀딩스,기타금융,"297,057,224,850"
화신,운송장비·부품,"296,823,485,000"
우진,의료·정밀기기,"295,289,935,400"
국도화학,화학,"293,568,374,400"
대원제약,제약,"291,334,303,170"
모토닉,운송장비·부품,"290,878,500,000"
남성,유통,"29,838,819,840"
호텔신라우,유통,"29,548,844,700"
WISCOM,화학,"29,411,434,522"
코람코더원리츠,부동산,"289,668,000,000"
DB,IT 서비스,"284,661,115,195"
KPX홀딩스,화학,"282,628,817,400"
넥센,화학,"281,641,319,020"
LS네트웍스,유통,"280,932,752,040"
한국전력,전기·가스,"28,952,579,872,700"
동원수산,"농업, 임업 및 어업","28,760,514,900"
카카오,IT 서비스,"28,529,519,901,000"
백산,화학,"279,326,161,100"
PKC,화학,"276,248,203,050"
현대코퍼레이션,유통,"275,823,941,100"
삼영무역,유통,"275,157,525,200"
삼진제약,제약,"272,440,000,000"
일신방직,섬유·의류,"271,616,800,000"
이수화학,화학,"271,355,824,080"
한국자산신탁,기타금융,"271,058,246,090"
TYM,기계·장비,"270,756,245,560"
LG화학,화학,"27,742,790,799,000"
현대모비스,운송장비·부품,"27,492,630,653,000"
TBH글로벌,섬유·의류,"27,239,005,614"
에스엠벡셀,운송장비·부품,"267,560,482,800"
대신밸류리츠,기타금융,"264,227,600,000"
현대로템,운송장비·부품,"26,685,290,638,500"
